decimalLongitude,decimalLatitude,institutionCode,catalogNumber,geodeticDatum,coordinateUncertaintyInMeters,minimumElevationInMeters,occid,recordID
-90.701389,63.338889,QFA,QFA0152310,unknown,,,2659355,urn:uuid:27e21a73-fda5-4a24-810d-c5d88f8c2d1b
-90.701389,63.338889,QFA,QFA0152313,unknown,,,2659351,urn:uuid:3c5928b5-bdc4-4708-acb2-f8e5e4a68ae8
-90.701389,63.338889,QFA,QFA0168651,unknown,,,2659353,urn:uuid:b5cf61ad-15ff-43f7-b9c9-1b7ca31882cd
-90.701389,63.338889,QFA,QFA0266431,unknown,,,2659350,urn:uuid:a3d7451e-88e9-46af-a9ad-e308611aa62e
8.0069,63.348,O,82239,WGS84,838,1,2082339,urn:uuid:02c365be-46cf-4c56-bf94-8857bc366316
10.2894,63.3614,TRH,651237/1,WGS84,707,,3806898,urn:uuid:f7c5d6ab-8933-45ed-bbfe-3e3c64814cd3
-129.7,63.366667,WIS,WIS-L-0044711,unknown,,1524,1100375,urn:uuid:eb32c76d-e566-4376-a5fc-18e326754f9f
-129.7,63.366667,WIS,WIS-L-0044713,unknown,,1524,1100377,urn:uuid:d1f0fb42-d1dc-463c-9c1d-b11a8fa89215
-129.7,63.366667,WIS,WIS-L-0044714,unknown,,1524,1100378,urn:uuid:286f66fa-3d0e-4860-864e-7cb57a3639bc
-129.7,63.366667,WIS,WIS-L-0044716,unknown,,1524,1100380,urn:uuid:2f3cbef6-4a82-42af-a293-90609e5846bd
-129.7,63.366667,WIS,WIS-L-0044719,unknown,,1524,1100383,urn:uuid:49312d3f-0923-45c3-b046-0055b60d3516
-129.7,63.366667,WIS,WIS-L-0044734,unknown,,1524,1100398,urn:uuid:987e41ff-50df-4cae-9077-f9e01682cf2b
8.7423,63.3773,TRH,15799/1,WGS84,7,390,3847110,urn:uuid:e78bdff6-bb33-4844-af04-b05af049cdc4
7.9409,63.3776,O,82238,WGS84,461,1,2082338,urn:uuid:313d7880-8d52-4486-932c-f005dd515e52
-150.321667,63.381944,WIS,WIS-L-0045219,unknown,1807,1067,1101134,urn:uuid:953ee9ff-d416-4eee-9eeb-50bce314ad59
