decimalLongitude,decimalLatitude,institutionCode,catalogNumber,geodeticDatum,coordinateUncertaintyInMeters,minimumElevationInMeters,recordID,references
6.6317,62.3762,TRH,25628/1,ED50,707,,e7cbcaae-7390-4056-9d21-1f30739c8866,https://lichenportal.org/portal/collections/individual/index.php?occid=3834482
15.9908,67.9561,TRH,25771/1,ED50,707,50,5e0a0ab4-3405-42a0-adb6-254f93067c8c,https://lichenportal.org/portal/collections/individual/index.php?occid=3839258
9.8229,63.1299,TRH,2968/1,ED50,707,390,2b3226b4-94b1-4e82-80ba-03aaf50d7ce0,https://lichenportal.org/portal/collections/individual/index.php?occid=3839869
10.0351,64.0709,TRH,5003/1,ED50,707,5,7ee51e2c-b81b-42a1-916f-4f545882925e,https://lichenportal.org/portal/collections/individual/index.php?occid=3840387
10.7248,59.8983,TRH,25609/1,ED50,707,,bec64117-9448-49ab-bcab-a09f9d439a33,https://lichenportal.org/portal/collections/individual/index.php?occid=3841910
6.7287,58.0664,TRH,25618/1,ED50,1118,,80903e78-8610-4585-808d-d0524bc11740,https://lichenportal.org/portal/collections/individual/index.php?occid=3841921
7.0214,62.6247,TRH,25631/1,ED50,707,45,0e4f523b-2d16-4395-9141-f5099b72543a,https://lichenportal.org/portal/collections/individual/index.php?occid=3841922
28.5105,70.0557,TRH,16405/1,ED50,1118,180,943a776f-faeb-4e21-9146-e5d64e283ac1,https://lichenportal.org/portal/collections/individual/index.php?occid=3843687
8.5491,63.3725,TRH,47235/1,ED50,71,150,a1f54a9f-53f6-415a-9eb7-58c95e093f5f,https://lichenportal.org/portal/collections/individual/index.php?occid=3844041
10.7489,59.9142,TRH,25606/1,ED50,3329,,ba76eae5-e5cc-4c10-9883-3756b5c31d1e,https://lichenportal.org/portal/collections/individual/index.php?occid=3844436
11.4625,64.2153,TRH,7945/1,ED50,707,160,ac2c1f96-ba9e-4731-a470-15ee113b2ed2,https://lichenportal.org/portal/collections/individual/index.php?occid=3845119
6.2757,62.675,TRH,25627/1,ED50,707,200,05782e85-e761-4c3d-82e2-5985f7050e09,https://lichenportal.org/portal/collections/individual/index.php?occid=3847049
6.7287,58.0664,TRH,25620/1,ED50,1118,,6ee24865-0674-4d8a-9f9d-e0ef5c5e8340,https://lichenportal.org/portal/collections/individual/index.php?occid=3847584
6.6603,58.0741,TRH,25619/1,ED50,1118,,3bb5888e-2213-4432-8c14-9e9d28dd6c21,https://lichenportal.org/portal/collections/individual/index.php?occid=3850004
19.2228,69.6253,TROM,480198/1,ED50,112,800,278dd89b-652f-4446-b522-0e24ea2f5d28,https://lichenportal.org/portal/collections/individual/index.php?occid=3858355
19.2228,69.6253,TROM,480199/1,ED50,112,800,455fac05-2e39-4913-bff9-fed555e60e3e,https://lichenportal.org/portal/collections/individual/index.php?occid=3858356
23.7986,69.6676,TROM,480831/1,ED50,707,260,891b7138-de5c-4cf3-820e-2cd573782ff5,https://lichenportal.org/portal/collections/individual/index.php?occid=3859063
24.0847,71.0749,TROM,480834/1,ED50,707,30,7746604c-e5d7-41a5-9575-65fcc99550c0,https://lichenportal.org/portal/collections/individual/index.php?occid=3859066
23.8002,69.6699,TROM,480835/1,ED50,71,245,bc65eb1d-6dc5-4741-b064-96bc59e7961c,https://lichenportal.org/portal/collections/individual/index.php?occid=3859067
23.7944,69.6646,TROM,480836/1,ED50,71,265,b94a3d63-7435-48d3-a296-ef0e8fa37b2f,https://lichenportal.org/portal/collections/individual/index.php?occid=3859068
29.2637,69.7207,TROM,480837/1,ED50,71,55,2b3c6d58-aa03-4f92-b425-edc809c30276,https://lichenportal.org/portal/collections/individual/index.php?occid=3859069
29.2623,69.7202,TROM,480838/1,ED50,707,,4ce093fb-aefb-42be-86ee-b60a353f185d,https://lichenportal.org/portal/collections/individual/index.php?occid=3859070
18.1978,69.6945,TROM,480842/1,ED50,707,5,1586472c-c90a-446b-be00-398b24339886,https://lichenportal.org/portal/collections/individual/index.php?occid=3859075
19.96,70.1312,TROM,480843/1,ED50,71,30,37df3531-e519-4211-bae3-cd547ad7847b,https://lichenportal.org/portal/collections/individual/index.php?occid=3859076
18.5376,69.7835,TROM,480844/1,ED50,71,10,04ad06e9-8f81-4a17-b12a-a48b25f19939,https://lichenportal.org/portal/collections/individual/index.php?occid=3859077
18.5451,70.0313,TROM,480845/1,ED50,71,170,1ae48f1f-1f10-437d-9f32-157fcf3a85ec,https://lichenportal.org/portal/collections/individual/index.php?occid=3859078
19.9378,69.9984,TROM,480846/1,ED50,71,50,f0b075a3-2f3b-492e-b339-bccd47e3025f,https://lichenportal.org/portal/collections/individual/index.php?occid=3859079
19.5241,70.2537,TROM,480847/1,ED50,71,20,d379d27f-6282-44b9-a6e4-6ebd3416a5ce,https://lichenportal.org/portal/collections/individual/index.php?occid=3859080
18.5434,69.8343,TROM,480848/1,ED50,707,630,6f075af2-02d0-4c9b-be2e-cbe925a5d997,https://lichenportal.org/portal/collections/individual/index.php?occid=3859081
19.5048,68.7417,TROM,480849/1,ED50,707,1525,02c1711f-3b8e-40c7-b2d2-dfdcc1aa7f41,https://lichenportal.org/portal/collections/individual/index.php?occid=3859082
18.5533,70.0287,TROM,480850/1,ED50,71,50,d8866dda-bfd2-4f30-b645-332ec3691c9c,https://lichenportal.org/portal/collections/individual/index.php?occid=3859085
17.1794,69.4162,TROM,480851/1,ED50,707,3,9de7fe1b-593e-4687-b53e-375f4533a079,https://lichenportal.org/portal/collections/individual/index.php?occid=3859087
19.8725,69.776,TROM,480852/1,ED50,707,5,675f4ab3-a61f-4fba-aad0-78ed731b2588,https://lichenportal.org/portal/collections/individual/index.php?occid=3859088
17.0999,69.3858,TROM,480855/1,ED50,1803,,4a8205a2-783c-4724-86f9-123fd4508a85,https://lichenportal.org/portal/collections/individual/index.php?occid=3859090
18.4919,70.1023,TROM,480856/1,ED50,71,10,893b34f2-028b-4a42-8d2b-5e4d2d0c912e,https://lichenportal.org/portal/collections/individual/index.php?occid=3859091
16.9839,69.3015,TROM,480857/1,ED50,71,75,af318132-77fd-45ca-9dbc-05eec14774ec,https://lichenportal.org/portal/collections/individual/index.php?occid=3859092
19.1237,68.8635,TROM,480858/1,ED50,707,650,6baab3e3-db9b-405e-bff5-211cfcadecc8,https://lichenportal.org/portal/collections/individual/index.php?occid=3859093
19.9569,69.642,TROM,480860/1,ED50,707,100,12444592-fab6-4ddd-a4b4-2dad26c5d5c3,https://lichenportal.org/portal/collections/individual/index.php?occid=3859096
13.2873,68.0309,TROM,480863/1,ED50,707,720,cb76df5d-5a2b-465d-8007-ba75811880ef,https://lichenportal.org/portal/collections/individual/index.php?occid=3859099
14.6184,67.2052,TROM,480864/1,ED50,707,5,fd97afbb-9202-4e48-8faf-099716ab1a7b,https://lichenportal.org/portal/collections/individual/index.php?occid=3859100
13.4951,65.3636,TROM,480865/1,ED50,14142,,ccdf6ab0-01a9-4fbd-83b2-1bd2f9abbfdf,https://lichenportal.org/portal/collections/individual/index.php?occid=3859101
14.6517,67.2995,TROM,480866/1,ED50,7071,,9eb5a351-140b-4b89-99f4-77734f33fcab,https://lichenportal.org/portal/collections/individual/index.php?occid=3859102
13.4951,65.3636,TROM,480867/1,ED50,14142,,981088cf-d4ad-484c-8422-356933433fcd,https://lichenportal.org/portal/collections/individual/index.php?occid=3859103
16.0843,69.3121,TROM,480869/1,ED50,71,5,1842b5eb-d0c6-40bb-a273-2a149559bed1,https://lichenportal.org/portal/collections/individual/index.php?occid=3859105
